2019-09-05 10:45:47,941 -  testcases.test_invest - DEBUG - 准备测试前置 - [test_invest.py:25 ]
2019-09-05 10:45:48,754 -  testcases.test_login - DEBUG - 准备测试前置 - [test_login.py:22 ]
2019-09-05 10:45:48,754 -  testcases.test_login - DEBUG - 开始测试:正常登录 - [test_login.py:28 ]
2019-09-05 10:45:48,755 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:45:48,755 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:45:48,755 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:45:48,934 -  testcases.test_login - DEBUG - 结束测试:正常登录 - [test_login.py:41 ]
2019-09-05 10:45:48,935 -  testcases.test_login - DEBUG - 开始测试:输入错误的密码 - [test_login.py:28 ]
2019-09-05 10:45:48,935 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:48,935 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:45:48,935 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '098786'} - [http_request.py:58 ]
2019-09-05 10:45:49,212 -  testcases.test_login - DEBUG - 结束测试:输入错误的密码 - [test_login.py:41 ]
2019-09-05 10:45:49,213 -  testcases.test_login - DEBUG - 开始测试:不输入密码 - [test_login.py:28 ]
2019-09-05 10:45:49,216 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:45:49,216 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:45:49,216 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': ''} - [http_request.py:58 ]
2019-09-05 10:45:49,401 -  testcases.test_login - DEBUG - 结束测试:不输入密码 - [test_login.py:41 ]
2019-09-05 10:45:49,401 -  testcases.test_login - DEBUG - 开始测试:不输入手机号码 - [test_login.py:28 ]
2019-09-05 10:45:49,406 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:49,406 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:45:49,406 -  common.http_request - DEBUG - 请求data:{'mobilephone': '', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:45:49,575 -  testcases.test_login - DEBUG - 结束测试:不输入手机号码 - [test_login.py:41 ]
2019-09-05 10:45:49,576 -  testcases.test_login - DEBUG - 测试后置处理 - [test_login.py:46 ]
2019-09-05 10:45:49,577 -  testcases.test_register - DEBUG - 准备测试前置 - [test_register.py:24 ]
2019-09-05 10:45:49,578 -  testcases.test_register - DEBUG - 开始测试:注册成功 - [test_register.py:29 ]
2019-09-05 10:45:49,689 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:49,689 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:45:49,689 -  common.http_request - DEBUG - 请求data:{'mobilephone': '19000000000', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:45:49,895 -  testcases.test_register - ERROR - [0;31m报错了:'{"status":1,"code":"10001","data":null,"msg":"注册成功"}' != '{"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}'
- {"status":1,"code":"10001","data":null,"msg":"注册成功"}
?           ^           ^^^                     ^^^^
+ {"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}
?           ^         ++  ^                     ^^^^^^^^^
[0m - [test_register.py:49 ]
2019-09-05 10:45:49,896 -  testcases.test_register - DEBUG - 开始测试:密码为空，注册失败 - [test_register.py:29 ]
2019-09-05 10:45:49,896 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:49,896 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:45:49,896 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447879', 'pwd': ''} - [http_request.py:58 ]
2019-09-05 10:45:50,056 -  testcases.test_register - DEBUG - 结束测试:密码为空，注册失败 - [test_register.py:52 ]
2019-09-05 10:45:50,056 -  testcases.test_register - DEBUG - 开始测试:手机号码为空，注册失败 - [test_register.py:29 ]
2019-09-05 10:45:50,057 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:50,058 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:45:50,058 -  common.http_request - DEBUG - 请求data:{'mobilephone': '', 'pwd': '123458'} - [http_request.py:58 ]
2019-09-05 10:45:50,264 -  testcases.test_register - DEBUG - 结束测试:手机号码为空，注册失败 - [test_register.py:52 ]
2019-09-05 10:45:50,265 -  testcases.test_register - DEBUG - 开始测试:重复注册 - [test_register.py:29 ]
2019-09-05 10:45:50,266 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:50,266 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:45:50,266 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123459'} - [http_request.py:58 ]
2019-09-05 10:45:50,463 -  testcases.test_register - DEBUG - 结束测试:重复注册 - [test_register.py:52 ]
2019-09-05 10:45:50,463 -  testcases.test_register - DEBUG - 测试后置处理 - [test_register.py:56 ]
2019-09-05 10:45:50,465 -  testcases.test_recharge - DEBUG - 准备测试前置 - [test_recharge.py:22 ]
2019-09-05 10:45:50,465 -  testcases.test_recharge - DEBUG - 开始测试:正常登陆 - [test_recharge.py:27 ]
2019-09-05 10:45:50,466 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:50,466 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:45:50,466 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:45:50,637 -  testcases.test_recharge - DEBUG - 结束测试:正常登陆 - [test_recharge.py:40 ]
2019-09-05 10:45:50,637 -  testcases.test_recharge - DEBUG - 开始测试:正常充值 - [test_recharge.py:27 ]
2019-09-05 10:45:50,641 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:50,641 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:45:50,641 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'amount': '100'} - [http_request.py:58 ]
2019-09-05 10:45:50,963 -  testcases.test_recharge - DEBUG - 结束测试:正常充值 - [test_recharge.py:40 ]
2019-09-05 10:45:50,964 -  testcases.test_recharge - DEBUG - 开始测试:充值手机号码不存在 - [test_recharge.py:27 ]
2019-09-05 10:45:50,966 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:50,966 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:45:50,966 -  common.http_request - DEBUG - 请求data:{'mobilephone': '12345677889', 'amount': '101'} - [http_request.py:58 ]
2019-09-05 10:45:51,161 -  testcases.test_recharge - DEBUG - 结束测试:充值手机号码不存在 - [test_recharge.py:40 ]
2019-09-05 10:45:51,163 -  testcases.test_recharge - DEBUG - 开始测试:充值金额小数点大于两位 - [test_recharge.py:27 ]
2019-09-05 10:45:51,164 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:51,167 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:45:51,168 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'amount': '102.223'} - [http_request.py:58 ]
2019-09-05 10:45:51,459 -  testcases.test_recharge - DEBUG - 结束测试:充值金额小数点大于两位 - [test_recharge.py:40 ]
2019-09-05 10:45:51,460 -  testcases.test_recharge - DEBUG - 开始测试:输入负数 - [test_recharge.py:27 ]
2019-09-05 10:45:51,460 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:45:51,464 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:45:51,464 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'amount': '-103'} - [http_request.py:58 ]
2019-09-05 10:45:51,641 -  testcases.test_recharge - DEBUG - 结束测试:输入负数 - [test_recharge.py:40 ]
2019-09-05 10:45:51,642 -  testcases.test_recharge - DEBUG - 测试后置处理 - [test_recharge.py:44 ]
2019-09-05 10:45:51,642 -  testcases.test_add - INFO - 准备测试前置 - [test_add.py:22 ]
2019-09-05 10:45:51,822 -  testcases.test_add - INFO - 开始测试:正常登录 - [test_add.py:28 ]
2019-09-05 10:45:51,832 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:45:51,832 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:45:51,833 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:45:52,051 -  testcases.test_add - INFO - 结束测试:正常登录 - [test_add.py:43 ]
2019-09-05 10:45:52,052 -  testcases.test_add - INFO - 开始测试:加标 - [test_add.py:28 ]
2019-09-05 10:45:52,054 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:45:52,054 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-05 10:45:52,054 -  common.http_request - DEBUG - 请求data:{'repaymemtWay': 11, 'amount': 20000, 'loanTerm': 3, 'biddingDays': 5, 'memberId': '1197', 'loanDateType': 0, 'title': '试试人品行不行，借个2W玩玩', 'loanRate': '12.0'} - [http_request.py:58 ]
2019-09-05 10:45:52,255 -  testcases.test_add - INFO - 结束测试:加标 - [test_add.py:43 ]
2019-09-05 10:45:52,255 -  testcases.test_add - INFO - 测试后置处理 - [test_add.py:47 ]
2019-09-05 10:48:03,038 -  test_add - INFO - 准备测试前置 - [test_add.py:22 ]
2019-09-05 10:48:04,230 -  test_add - INFO - 开始测试:正常登录 - [test_add.py:28 ]
2019-09-05 10:48:04,240 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:48:04,240 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:48:04,244 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:48:04,474 -  test_add - INFO - 结束测试:正常登录 - [test_add.py:43 ]
2019-09-05 10:48:04,474 -  test_add - INFO - 开始测试:加标 - [test_add.py:28 ]
2019-09-05 10:48:04,478 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:48:04,478 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-05 10:48:04,478 -  common.http_request - DEBUG - 请求data:{'biddingDays': 5, 'memberId': '1197', 'loanTerm': 3, 'loanRate': '12.0', 'repaymemtWay': 11, 'amount': 20000, 'loanDateType': 0, 'title': '试试人品行不行，借个2W玩玩'} - [http_request.py:58 ]
2019-09-05 10:48:04,679 -  test_add - INFO - 结束测试:加标 - [test_add.py:43 ]
2019-09-05 10:48:04,683 -  test_add - INFO - 测试后置处理 - [test_add.py:47 ]
2019-09-05 10:48:04,683 -  test_invest - DEBUG - 准备测试前置 - [test_invest.py:25 ]
2019-09-05 10:48:04,868 -  test_invest - DEBUG - 开始测试:管理员正常登录 - [test_invest.py:31 ]
2019-09-05 10:48:04,991 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:48:04,991 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:48:04,995 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15814447890', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:48:05,271 -  test_invest - DEBUG - 结束测试:管理员正常登录 - [test_invest.py:64 ]
2019-09-05 10:48:05,271 -  test_invest - DEBUG - 开始测试:管理员加标 - [test_invest.py:31 ]
2019-09-05 10:48:05,276 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:48:05,276 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-05 10:48:05,276 -  common.http_request - DEBUG - 请求data:{'biddingDays': 5, 'memberId': '1197', 'loanTerm': 3, 'loanRate': '12.0', 'repaymemtWay': 11, 'amount': 20000, 'loanDateType': 0, 'title': '世界这么大，想去看一看'} - [http_request.py:58 ]
2019-09-05 10:48:05,439 -  test_invest - DEBUG - 结束测试:管理员加标 - [test_invest.py:64 ]
2019-09-05 10:48:05,439 -  test_invest - DEBUG - 开始测试:管理员审核 - [test_invest.py:31 ]
2019-09-05 10:48:05,445 -  test_invest - DEBUG - 开始测试:投资人正常登录 - [test_invest.py:31 ]
2019-09-05 10:48:05,445 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:48:05,445 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:48:05,445 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:48:05,670 -  test_invest - DEBUG - 结束测试:投资人正常登录 - [test_invest.py:64 ]
2019-09-05 10:48:05,671 -  test_invest - DEBUG - 开始测试:投资人正常投资 - [test_invest.py:31 ]
2019-09-05 10:48:05,677 -  test_invest - DEBUG - 开始测试:投资人投资不输入金额 - [test_invest.py:31 ]
2019-09-05 10:48:05,682 -  test_invest - DEBUG - 开始测试:投资人投资输入负数 - [test_invest.py:31 ]
2019-09-05 10:48:05,687 -  test_invest - DEBUG - 测试后置处理 - [test_invest.py:68 ]
2019-09-05 10:48:05,689 -  test_login - DEBUG - 准备测试前置 - [test_login.py:22 ]
2019-09-05 10:48:05,689 -  test_login - DEBUG - 开始测试:正常登录 - [test_login.py:28 ]
2019-09-05 10:48:05,690 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:48:05,690 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:48:05,690 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:48:05,950 -  test_login - DEBUG - 结束测试:正常登录 - [test_login.py:41 ]
2019-09-05 10:48:05,951 -  test_login - DEBUG - 开始测试:输入错误的密码 - [test_login.py:28 ]
2019-09-05 10:48:05,952 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:05,952 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:48:05,956 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '098786'} - [http_request.py:58 ]
2019-09-05 10:48:06,175 -  test_login - DEBUG - 结束测试:输入错误的密码 - [test_login.py:41 ]
2019-09-05 10:48:06,175 -  test_login - DEBUG - 开始测试:不输入密码 - [test_login.py:28 ]
2019-09-05 10:48:06,182 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:48:06,182 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:48:06,183 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': ''} - [http_request.py:58 ]
2019-09-05 10:48:06,335 -  test_login - DEBUG - 结束测试:不输入密码 - [test_login.py:41 ]
2019-09-05 10:48:06,335 -  test_login - DEBUG - 开始测试:不输入手机号码 - [test_login.py:28 ]
2019-09-05 10:48:06,336 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:06,336 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:48:06,336 -  common.http_request - DEBUG - 请求data:{'mobilephone': '', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:48:06,489 -  test_login - DEBUG - 结束测试:不输入手机号码 - [test_login.py:41 ]
2019-09-05 10:48:06,493 -  test_login - DEBUG - 测试后置处理 - [test_login.py:46 ]
2019-09-05 10:48:06,493 -  test_recharge - DEBUG - 准备测试前置 - [test_recharge.py:22 ]
2019-09-05 10:48:06,494 -  test_recharge - DEBUG - 开始测试:正常登陆 - [test_recharge.py:27 ]
2019-09-05 10:48:06,495 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:06,495 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:48:06,495 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:48:06,755 -  test_recharge - DEBUG - 结束测试:正常登陆 - [test_recharge.py:40 ]
2019-09-05 10:48:06,756 -  test_recharge - DEBUG - 开始测试:正常充值 - [test_recharge.py:27 ]
2019-09-05 10:48:06,757 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:06,757 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:48:06,758 -  common.http_request - DEBUG - 请求data:{'amount': '100', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-05 10:48:07,084 -  test_recharge - DEBUG - 结束测试:正常充值 - [test_recharge.py:40 ]
2019-09-05 10:48:07,084 -  test_recharge - DEBUG - 开始测试:充值手机号码不存在 - [test_recharge.py:27 ]
2019-09-05 10:48:07,088 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:07,088 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:48:07,088 -  common.http_request - DEBUG - 请求data:{'amount': '101', 'mobilephone': '12345677889'} - [http_request.py:58 ]
2019-09-05 10:48:07,296 -  test_recharge - DEBUG - 结束测试:充值手机号码不存在 - [test_recharge.py:40 ]
2019-09-05 10:48:07,296 -  test_recharge - DEBUG - 开始测试:充值金额小数点大于两位 - [test_recharge.py:27 ]
2019-09-05 10:48:07,298 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:07,298 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:48:07,299 -  common.http_request - DEBUG - 请求data:{'amount': '102.223', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-05 10:48:07,555 -  test_recharge - DEBUG - 结束测试:充值金额小数点大于两位 - [test_recharge.py:40 ]
2019-09-05 10:48:07,556 -  test_recharge - DEBUG - 开始测试:输入负数 - [test_recharge.py:27 ]
2019-09-05 10:48:07,556 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:07,560 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-05 10:48:07,560 -  common.http_request - DEBUG - 请求data:{'amount': '-103', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-05 10:48:07,812 -  test_recharge - DEBUG - 结束测试:输入负数 - [test_recharge.py:40 ]
2019-09-05 10:48:07,817 -  test_recharge - DEBUG - 测试后置处理 - [test_recharge.py:44 ]
2019-09-05 10:48:07,818 -  test_register - DEBUG - 准备测试前置 - [test_register.py:24 ]
2019-09-05 10:48:07,818 -  test_register - DEBUG - 开始测试:注册成功 - [test_register.py:29 ]
2019-09-05 10:48:07,930 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:07,930 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:48:07,930 -  common.http_request - DEBUG - 请求data:{'mobilephone': '19000000000', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:48:08,149 -  test_register - ERROR - [0;31m报错了:'{"status":1,"code":"10001","data":null,"msg":"注册成功"}' != '{"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}'
- {"status":1,"code":"10001","data":null,"msg":"注册成功"}
?           ^           ^^^                     ^^^^
+ {"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}
?           ^         ++  ^                     ^^^^^^^^^
[0m - [test_register.py:49 ]
2019-09-05 10:48:08,154 -  test_register - DEBUG - 开始测试:密码为空，注册失败 - [test_register.py:29 ]
2019-09-05 10:48:08,155 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:08,155 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:48:08,155 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447879', 'pwd': ''} - [http_request.py:58 ]
2019-09-05 10:48:08,310 -  test_register - DEBUG - 结束测试:密码为空，注册失败 - [test_register.py:52 ]
2019-09-05 10:48:08,310 -  test_register - DEBUG - 开始测试:手机号码为空，注册失败 - [test_register.py:29 ]
2019-09-05 10:48:08,311 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:08,311 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:48:08,311 -  common.http_request - DEBUG - 请求data:{'mobilephone': '', 'pwd': '123458'} - [http_request.py:58 ]
2019-09-05 10:48:08,527 -  test_register - DEBUG - 结束测试:手机号码为空，注册失败 - [test_register.py:52 ]
2019-09-05 10:48:08,527 -  test_register - DEBUG - 开始测试:重复注册 - [test_register.py:29 ]
2019-09-05 10:48:08,528 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-05 10:48:08,528 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-05 10:48:08,528 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123459'} - [http_request.py:58 ]
2019-09-05 10:48:08,668 -  test_register - DEBUG - 结束测试:重复注册 - [test_register.py:52 ]
2019-09-05 10:48:08,669 -  test_register - DEBUG - 测试后置处理 - [test_register.py:56 ]
2019-09-05 10:48:57,713 -  test_invest - DEBUG - 准备测试前置 - [test_invest.py:25 ]
2019-09-05 10:48:57,910 -  test_invest - DEBUG - 开始测试:管理员正常登录 - [test_invest.py:31 ]
2019-09-05 10:48:58,047 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:48:58,047 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:48:58,048 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15814447890'} - [http_request.py:58 ]
2019-09-05 10:48:58,291 -  test_invest - DEBUG - 结束测试:管理员正常登录 - [test_invest.py:64 ]
2019-09-05 10:48:58,295 -  test_invest - DEBUG - 开始测试:管理员加标 - [test_invest.py:31 ]
2019-09-05 10:48:58,296 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:48:58,297 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-05 10:48:58,297 -  common.http_request - DEBUG - 请求data:{'loanDateType': 0, 'memberId': '1197', 'loanTerm': 3, 'repaymemtWay': 11, 'biddingDays': 5, 'title': '世界这么大，想去看一看', 'amount': 20000, 'loanRate': '12.0'} - [http_request.py:58 ]
2019-09-05 10:48:58,423 -  test_invest - DEBUG - 结束测试:管理员加标 - [test_invest.py:64 ]
2019-09-05 10:48:58,424 -  test_invest - DEBUG - 开始测试:管理员审核 - [test_invest.py:31 ]
2019-09-05 10:48:58,435 -  test_invest - DEBUG - 开始测试:投资人正常登录 - [test_invest.py:31 ]
2019-09-05 10:48:58,438 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
